year,cdc_week,site,total_mosquitoes,trap_date,week_start,temp_avg_f,temp_max_f,temp_min_f,rh_avg,wind_avg_mph,precip_in
2018,24,HAR001,0.0,2018-06-14,2018-06-11,85.0,104.0,66.0,17.22,10.77,0.0
2018,25,HAR001,1.0,2018-06-21,2018-06-18,86.0,106.0,63.0,12.23,7.69,0.0
2018,26,HAR001,0.0,2018-06-28,2018-06-25,87.97,105.0,69.0,10.63,8.06,0.0
2018,27,HAR001,1.0,2018-07-06,2018-07-02,90.71,108.0,73.0,16.33,9.23,0.01
2018,28,HAR001,0.0,2018-07-12,2018-07-09,86.43,105.0,69.0,49.03,7.43,0.04
2018,29,HAR001,1.0,2018-07-19,2018-07-16,89.71,106.0,71.0,39.86,8.12,0.01
2018,30,HAR001,1.0,2018-07-27,2018-07-23,93.43,110.0,76.0,24.21,7.73,0.0
2018,31,HAR001,2.0,2018-08-02,2018-07-30,90.68,107.0,71.0,31.48,7.53,0.3
2018,32,HAR001,2.0,2018-08-09,2018-08-06,88.14,107.0,67.0,26.12,6.96,0.13
2018,33,HAR001,1.0,2018-08-16,2018-08-13,88.28,105.0,70.0,32.05,7.08,0.02
2018,35,HAR001,3.0,2018-08-30,2018-08-27,82.6,98.0,63.0,20.41,5.97,0.0
2019,23,HAR001,4.0,2019-06-05,2019-06-03,79.1,98.0,60.0,22.42,8.93,0.0
2019,24,HAR001,3.0,2019-06-13,2019-06-10,82.74,103.0,61.0,19.82,6.11,0.03
2019,25,HAR001,4.0,2019-06-19,2019-06-17,79.49,99.0,57.0,24.11,8.11,0.01
2019,26,HAR001,6.0,2019-06-27,2019-06-24,83.11,100.0,63.0,15.7,8.24,0.01
2019,27,HAR001,0.0,2019-07-03,2019-07-01,84.14,101.0,66.0,14.45,7.61,0.0
2019,28,HAR001,0.0,2019-07-10,2019-07-08,87.71,106.0,68.0,18.12,7.13,0.01
2019,29,HAR001,0.0,2019-07-17,2019-07-15,88.14,107.0,70.0,14.48,7.39,0.0
2019,30,HAR001,0.0,2019-07-24,2019-07-22,89.64,106.0,70.0,29.3,6.67,0.02
2019,31,HAR001,0.0,2019-07-31,2019-07-29,89.44,107.0,69.0,29.18,6.86,0.03
2019,32,HAR001,0.0,2019-08-07,2019-08-05,88.64,107.0,74.0,29.96,9.1,0.0
2019,33,HAR001,0.0,2019-08-14,2019-08-12,88.17,105.0,69.0,12.19,5.71,0.0
2020,21,HAR001,1.0,2020-05-20,2020-05-18,67.71,91.0,48.0,21.27,11.93,0.0
2022,35,HAR001,8.0,2022-08-30,2022-08-29,90.71,108.0,71.0,22.05,4.3,0.0
2023,18,HAR001,2.0,2023-05-03,2023-05-01,65.57,89.0,48.0,27.54,9.24,0.02
2023,20,HAR001,16.0,2023-05-18,2023-05-15,76.17,91.0,57.0,36.7,7.22,0.17
