date,temp,precip,precip_7d,rh,wind,weather_risk
2024-04-13 23:59:00,68.0,0.0,0.0,,11.1,0.0644
2024-04-14 23:59:00,62.0,0.0,0.0,,11.9,0.0071
2024-04-15 23:59:00,59.0,0.0,0.0,,8.3,0.005
2024-04-16 23:59:00,62.0,0.0,0.0,,4.1,0.0025
2024-04-17 23:59:00,67.0,0.0,0.0,,5.7,0.0419
2024-04-18 23:59:00,69.0,0.0,0.0,,6.3,0.0808
2024-04-19 23:59:00,68.0,0.0,0.0,,4.8,0.0606
2024-04-20 23:59:00,70.0,0.0,0.0,,5.6,0.0996
2024-04-21 23:59:00,,0.0,0.0,,0.0,
2024-04-22 23:59:00,72.0,0.0,0.0,,6.3,0.1385
2024-04-23 23:59:00,72.0,0.0,0.0,,7.2,0.1391
2024-04-24 23:59:00,72.0,0.0,0.0,,11.7,0.1418
2024-04-25 23:59:00,69.0,0.0,0.0,,9.1,0.0825
2024-04-26 23:59:00,58.0,0.0,0.0,,11.8,0.0071
2024-04-27 23:59:00,59.0,0.0,0.0,,10.7,0.0064
2024-04-28 23:59:00,62.0,0.0,0.0,,6.1,0.0037
2024-04-29 23:59:00,66.0,0.0,0.0,,6.2,0.023
2024-04-30 23:59:00,69.0,0.0,0.0,,5.8,0.0805
2024-05-01 23:59:00,70.0,0.0,0.0,,9.8,0.1021
2024-05-02 23:59:00,66.0,0.0,0.0,,6.2,0.023
2024-05-03 23:59:00,67.0,0.0,0.0,,7.4,0.0429
2024-05-04 23:59:00,71.0,0.0,0.0,,12.7,0.1231
2024-05-05 23:59:00,59.0,0.0,0.0,,12.9,0.0077
2024-05-06 23:59:00,55.0,0.0,0.0,,8.0,0.0048
2024-05-07 23:59:00,64.0,0.0,0.0,,10.7,0.0064
2024-05-08 23:59:00,60.0,0.0,0.0,,12.8,0.0077
2024-05-09 23:59:00,64.0,0.0,0.0,,11.0,0.0066
2024-05-10 23:59:00,65.0,0.0,0.0,,8.9,0.0053
2024-05-11 23:59:00,63.0,0.0,0.0,,6.0,0.0036
2024-05-12 23:59:00,70.0,0.0,0.0,,5.8,0.0997
2024-05-13 23:59:00,74.0,0.0,0.0,,5.8,0.1767
2024-05-14 23:59:00,77.0,0.0,0.0,,7.7,0.2356
2024-05-15 23:59:00,75.0,0.0,0.0,,10.5,0.1988
2024-05-16 23:59:00,76.0,0.0,0.0,,7.2,0.2161
2024-05-17 23:59:00,78.0,0.0,0.0,,6.3,0.254
2024-05-18 23:59:00,82.0,0.0,0.0,,9.1,0.3327
2024-05-19 23:59:00,78.0,0.0,0.0,,9.9,0.2562
2024-05-20 23:59:00,75.0,0.0,0.0,,13.9,0.2008
2024-05-21 23:59:00,69.0,0.0,0.0,,8.8,0.0823
2024-05-22 23:59:00,69.0,0.0,0.0,,7.7,0.0816
2024-05-23 23:59:00,74.0,0.0,0.0,,12.9,0.181
2024-05-24 23:59:00,74.0,0.0,0.0,,11.1,0.1799
2024-05-25 23:59:00,76.0,0.0,0.0,,11.9,0.2189
2024-05-26 23:59:00,75.0,0.0,0.0,,5.4,0.1957
2024-05-27 23:59:00,78.0,0.0,0.0,,5.5,0.2536
2024-05-28 23:59:00,81.0,0.0,0.0,,6.2,0.3117
2024-05-29 23:59:00,79.0,0.0,0.0,,7.2,0.2738
2024-05-30 23:59:00,81.0,0.0,0.0,,6.6,0.312
2024-05-31 23:59:00,83.0,0.0,0.0,,6.8,0.3506
2024-06-01 23:59:00,81.0,0.0,0.0,,9.4,0.3136
2024-06-02 23:59:00,83.0,0.0,0.0,,9.0,0.3519
2024-06-03 23:59:00,83.0,0.0,0.0,,8.0,0.3513
2024-06-04 23:59:00,86.0,0.0,0.0,,8.4,0.4093
2024-06-05 23:59:00,87.0,0.0,0.0,,4.7,0.4263
2024-06-06 23:59:00,91.0,0.0,0.0,,6.4,0.5043
2024-06-07 23:59:00,90.0,0.0,0.0,,7.9,0.486
2024-06-08 23:59:00,89.0,0.0,0.0,,6.8,0.4661
2024-06-09 23:59:00,88.0,0.0,0.0,,9.3,0.4483
2024-06-10 23:59:00,,0.0,0.0,,0.0,
2024-06-11 23:59:00,86.0,0.0,0.0,,5.2,0.4074
2024-06-12 23:59:00,88.0,0.0,0.0,,6.1,0.4464
2024-06-13 23:59:00,86.0,0.0,0.0,,9.5,0.41
2024-06-14 23:59:00,88.0,0.0,0.0,,7.4,0.4472
2024-06-15 23:59:00,88.0,0.0,0.0,,6.9,0.4469
2024-06-16 23:59:00,87.0,0.0,0.0,,8.3,0.4285
2024-06-17 23:59:00,84.0,0.0,0.0,,12.6,0.3733
2024-06-18 23:59:00,76.0,0.0,0.0,,8.1,0.2166
2024-06-19 23:59:00,79.0,0.0,0.0,,7.3,0.2739
2024-06-20 23:59:00,84.0,0.0,0.0,,6.3,0.3695
2024-06-21 23:59:00,88.0,0.0,0.0,,7.8,0.4474
2024-06-22 23:59:00,89.0,0.0,0.0,,7.3,0.4664
2024-06-23 23:59:00,94.0,0.0,0.0,,9.8,0.5641
2024-06-24 23:59:00,93.0,0.0,0.0,,7.4,0.5434
2024-06-25 23:59:00,96.0,0.0,0.0,,10.4,0.603
2024-06-26 23:59:00,93.0,0.0,0.0,,8.5,0.5441
2024-06-27 23:59:00,96.0,0.0,0.0,,12.3,0.6041
2024-06-28 23:59:00,92.0,0.0,0.0,,10.1,0.5258
2024-06-29 23:59:00,92.0,0.0,0.0,,11.0,0.5264
2024-06-30 23:59:00,91.0,0.0,0.0,,12.6,0.5081
2024-07-01 23:59:00,88.0,0.0,0.0,,8.1,0.4476
2024-07-02 23:59:00,91.0,0.0,0.0,,8.3,0.5055
2024-07-03 23:59:00,92.0,0.0,0.0,,8.0,0.5246
2024-07-04 23:59:00,91.0,0.0,0.0,,9.1,0.506
2024-07-05 23:59:00,91.0,0.0,0.0,,6.4,0.5043
2024-07-06 23:59:00,92.0,0.0,0.0,,6.1,0.5234
2024-07-07 23:59:00,93.0,0.0,0.0,,10.1,0.5451
2024-07-08 23:59:00,95.0,0.0,0.0,,7.9,0.5822
2024-07-09 23:59:00,93.0,0.0,0.0,,4.7,0.5418
2024-07-10 23:59:00,96.0,0.0,0.0,,6.6,0.6007
2024-07-11 23:59:00,95.0,0.0,0.0,,5.8,0.581
2024-07-12 23:59:00,96.0,0.0,0.0,,6.9,0.6009
2024-07-13 23:59:00,94.0,0.0,0.0,,8.6,0.5634
2024-07-14 23:59:00,,0.0,0.0,,0.0,
2024-07-15 23:59:00,,0.0,0.0,,9.7,
2024-07-16 23:59:00,92.0,0.05,0.05,,7.6,0.5303
2024-07-17 23:59:00,94.0,0.0,0.05,,8.6,0.5694
2024-07-18 23:59:00,95.0,0.0,0.05,,8.6,0.5887
2024-07-19 23:59:00,92.0,0.0,0.05,,7.2,0.5301
2024-07-20 23:59:00,94.0,0.0,0.05,,8.2,0.5692
2024-07-21 23:59:00,93.0,0.04,0.09,,6.9,0.5539
2024-07-22 23:59:00,94.0,0.0,0.09,,7.3,0.5734
2024-07-23 23:59:00,94.0,0.0,0.04,,7.5,0.5676
2024-07-24 23:59:00,94.0,0.0,0.04,,7.7,0.5677
2024-07-25 23:59:00,91.0,0.08,0.12,,9.0,0.5203
2024-07-26 23:59:00,94.0,0.0,0.12000000000000001,,8.7,0.5779
2024-07-27 23:59:00,93.0,0.0,0.12000000000000001,,14.3,0.562
2024-07-28 23:59:00,86.0,0.0,0.08000000000000002,,7.0,0.418
2024-07-29 23:59:00,86.0,0.0,0.08000000000000002,,6.1,0.4175
2024-07-30 23:59:00,86.0,0.0,0.08000000000000002,,5.8,0.4173
2024-07-31 23:59:00,88.0,0.0,0.08000000000000002,,5.3,0.4555
2024-08-01 23:59:00,90.0,0.0,0.0,,6.7,0.4853
2024-08-02 23:59:00,91.0,0.0,0.0,,7.5,0.505
2024-08-03 23:59:00,91.0,0.0,0.0,,7.6,0.5051
2024-08-04 23:59:00,93.0,0.0,0.0,,9.2,0.5445
2024-08-05 23:59:00,94.0,0.0,0.0,,8.7,0.5635
2024-08-06 23:59:00,96.0,0.0,0.0,,8.2,0.6017
2024-08-07 23:59:00,94.0,0.0,0.0,,9.3,0.5638
2024-08-08 23:59:00,92.0,0.0,0.0,,10.1,0.5258
2024-08-09 23:59:00,91.0,0.0,0.0,,8.7,0.5057
2024-08-10 23:59:00,92.0,0.0,0.0,,11.1,0.5264
2024-08-11 23:59:00,89.0,0.0,0.0,,8.1,0.4669
2024-08-12 23:59:00,90.0,0.0,0.0,,8.6,0.4864
