Site,Week_Start,Mosq_Count,DailyAverageDryBulbTemperature,DailyAverageWindSpeed,DailyPrecipitation,DailyAverageRelativeHumidity,Risk_Level
HAR001-EX,2023-09-25,0.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,1
HUR008,2023-09-25,6.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,1
HUR009,2023-09-25,135.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,6
IVI001,2023-09-25,49.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,5
LAV001,2023-09-25,11.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,2
LEE003,2023-09-25,2.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,1
NHA003,2023-09-25,10.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,1
ROC004,2023-09-25,0.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,1
SCL001,2023-09-25,10.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,1
SCL004,2023-09-25,8.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,1
SCL005,2023-09-25,3.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,1
SGE002,2023-09-25,1.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,1
SGE003,2023-09-25,58.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,5
SGE007,2023-09-25,21.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,3
SGE009,2023-09-25,28.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,3
SGE009-2,2023-09-25,5.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,1
SGE013,2023-09-25,203.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,8
SGE014,2023-09-25,42.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,4
SGE015,2023-09-25,36.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,4
SGE016,2023-09-25,16.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,3
SGE017,2023-09-25,190.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,8
SGE018,2023-09-25,32.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,4
SPR002,2023-09-25,14.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,3
VIR008,2023-09-25,73.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,5
WAS001,2023-09-25,203.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,8
WAS002,2023-09-25,140.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,6
WAS005,2023-09-25,1.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,1
WAS006,2023-09-25,5.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,1
WAS008,2023-09-25,201.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,8
WAS009,2023-09-25,14.0,71.42857142857143,6.0,0.0057142857142857,33.390778533635675,3
HAR001-EX,2023-10-02,2.0,68.33333333333333,4.1,0.0316666666666666,41.4902380952381,1
HUR008,2023-10-02,10.0,68.33333333333333,4.1,0.0316666666666666,41.4902380952381,1
HUR009,2023-10-02,54.0,68.33333333333333,4.1,0.0316666666666666,41.4902380952381,5
IVI001,2023-10-02,8.0,68.33333333333333,4.1,0.0316666666666666,41.4902380952381,1
LAV001,2023-10-02,22.0,68.33333333333333,4.1,0.0316666666666666,41.4902380952381,3
LEE003,2023-10-02,16.0,68.33333333333333,4.1,0.0316666666666666,41.4902380952381,3
NHA003,2023-10-02,0.0,68.33333333333333,4.1,0.0316666666666666,41.4902380952381,1
ROC004,2023-10-02,1.0,68.33333333333333,4.1,0.0316666666666666,41.4902380952381,1
SCL004,2023-10-02,2.0,68.33333333333333,4.1,0.0316666666666666,41.4902380952381,1
SGE003,2023-10-02,3.0,68.33333333333333,4.1,0.0316666666666666,41.4902380952381,1
SGE007,2023-10-02,10.0,68.33333333333333,4.1,0.0316666666666666,41.4902380952381,1
SGE009,2023-10-02,3.0,68.33333333333333,4.1,0.0316666666666666,41.4902380952381,1
SGE009-2,2023-10-02,0.0,68.33333333333333,4.1,0.0316666666666666,41.4902380952381,1
SGE013,2023-10-02,41.0,68.33333333333333,4.1,0.0316666666666666,41.4902380952381,4
SGE014,2023-10-02,23.0,68.33333333333333,4.1,0.0316666666666666,41.4902380952381,3
SGE017,2023-10-02,192.0,68.33333333333333,4.1,0.0316666666666666,41.4902380952381,8
SGE018,2023-10-02,9.0,68.33333333333333,4.1,0.0316666666666666,41.4902380952381,1
SPR002,2023-10-02,0.0,68.33333333333333,4.1,0.0316666666666666,41.4902380952381,1
VIR008,2023-10-02,2.0,68.33333333333333,4.1,0.0316666666666666,41.4902380952381,1
WAS001,2023-10-02,48.0,68.33333333333333,4.1,0.0316666666666666,41.4902380952381,5
WAS002,2023-10-02,32.0,68.33333333333333,4.1,0.0316666666666666,41.4902380952381,4
WAS005,2023-10-02,0.0,68.33333333333333,4.1,0.0316666666666666,41.4902380952381,1
WAS008,2023-10-02,65.0,68.33333333333333,4.1,0.0316666666666666,41.4902380952381,5
WAS009,2023-10-02,2.0,68.33333333333333,4.1,0.0316666666666666,41.4902380952381,1
HAR001-EX,2023-10-09,0.0,66.28571428571429,5.314285714285714,0.0,30.172619047619047,1
HUR008,2023-10-09,15.0,66.28571428571429,5.314285714285714,0.0,30.172619047619047,3
HUR009,2023-10-09,21.0,66.28571428571429,5.314285714285714,0.0,30.172619047619047,3
IVI001,2023-10-09,54.0,66.28571428571429,5.314285714285714,0.0,30.172619047619047,5
LAV001,2023-10-09,21.0,66.28571428571429,5.314285714285714,0.0,30.172619047619047,3
LEE003,2023-10-09,6.0,66.28571428571429,5.314285714285714,0.0,30.172619047619047,1
NHA003,2023-10-09,14.0,66.28571428571429,5.314285714285714,0.0,30.172619047619047,3
ROC004,2023-10-09,1.0,66.28571428571429,5.314285714285714,0.0,30.172619047619047,1
SCL001,2023-10-09,3.0,66.28571428571429,5.314285714285714,0.0,30.172619047619047,1
SCL004,2023-10-09,1.0,66.28571428571429,5.314285714285714,0.0,30.172619047619047,1
SGE003,2023-10-09,13.0,66.28571428571429,5.314285714285714,0.0,30.172619047619047,3
SGE007,2023-10-09,160.0,66.28571428571429,5.314285714285714,0.0,30.172619047619047,7
SGE009,2023-10-09,10.0,66.28571428571429,5.314285714285714,0.0,30.172619047619047,1
SGE009-2,2023-10-09,1.0,66.28571428571429,5.314285714285714,0.0,30.172619047619047,1
SGE013,2023-10-09,203.0,66.28571428571429,5.314285714285714,0.0,30.172619047619047,8
SGE014,2023-10-09,23.0,66.28571428571429,5.314285714285714,0.0,30.172619047619047,3
